t_s,rojo,verde,azul,claro
0.0000,38,33,13,79
0.0211,38,33,13,79
0.0412,38,34,13,78
0.0585,38,34,13,78
0.0741,39,33,13,78
0.0879,39,33,13,78
0.1059,39,33,13,78
0.1346,38,33,13,78
0.1504,38,33,13,78
0.1733,39,34,14,79
0.1905,39,34,14,79
0.2087,38,34,14,79
0.2304,38,34,14,79
0.2441,38,34,14,79
0.2616,38,34,13,78
0.2752,38,34,13,78
0.2921,38,34,13,78
0.3074,38,34,14,79
0.3214,38,34,14,79
0.3351,38,34,14,79
0.3491,39,33,13,79
0.3630,39,33,13,79
0.3779,39,33,13,79
0.3933,38,33,13,78
0.4094,38,33,13,78
0.4247,38,33,13,78
0.4377,38,34,14,79
0.4552,38,34,14,79
0.4699,38,34,14,79
0.4840,38,34,14,78
0.4991,38,34,14,78
0.5133,38,34,14,78
0.5278,39,33,14,78
0.5426,39,33,14,78
0.5583,39,33,14,78
0.5733,38,33,14,79
0.5864,38,33,14,79
0.6043,39,33,13,79
0.6187,39,33,13,78
0.6331,39,33,13,78
0.6462,39,33,13,78
0.6626,39,34,14,78
0.6762,39,34,14,78
0.6936,39,34,14,78
0.7092,38,33,13,79
0.7234,38,33,13,79
0.7356,39,33,13,78
0.7531,39,33,13,78
0.7691,39,33,13,78
0.7829,38,33,14,79
0.7983,38,33,14,79
0.8132,38,33,14,79
0.8276,39,33,13,78
0.8423,39,33,13,78
0.8581,39,33,13,78
0.8746,38,34,13,78
0.8883,38,34,13,78
0.9048,38,34,13,78
0.9258,38,33,13,78
0.9515,38,33,13,78
0.9690,39,33,13,78
0.9849,39,33,13,78
1.0022,39,34,14,78
1.0222,39,34,14,78
1.0346,39,34,14,78
1.0546,38,34,14,79
1.0727,38,34,14,79
1.0883,38,34,14,79
1.1037,16,71,20,99
1.1300,15,74,21,99
1.1547,15,74,21,99
1.1699,15,74,21,99
1.1850,15,73,22,98
1.2023,15,73,22,98
1.2218,15,73,22,98
1.2357,15,73,22,98
1.2493,15,73,22,98
1.2629,15,73,22,98
1.2780,16,74,20,98
1.2942,16,74,20,98
1.3093,16,74,20,98
1.3229,16,73,21,99
1.3372,16,73,21,99
1.3492,16,73,21,99
1.3656,15,73,22,98
1.3781,15,73,22,98
1.3920,15,73,22,98
1.4081,15,73,22,98
1.4231,15,73,22,98
1.4366,15,73,22,98
1.4524,16,73,22,99
1.4691,16,73,22,99
1.4832,16,73,22,99
1.4966,16,74,22,98
1.5126,16,74,22,98
1.5267,16,74,22,98
1.5432,16,73,22,99
1.5589,16,73,22,99
1.5733,16,73,22,99
1.5853,16,73,23,98
1.6055,16,73,23,98
1.6194,16,73,23,98
1.6334,16,74,22,98
1.6481,16,74,22,98
1.6638,16,74,22,98
1.6781,15,73,23,98
1.6920,15,73,23,98
1.7082,15,73,23,98
1.7238,15,73,22,98
1.7368,15,73,22,98
1.7524,15,73,22,98
1.7650,16,74,22,98
1.7804,16,74,22,98
1.7952,16,74,22,98
1.8123,16,73,22,99
1.8266,16,73,22,99
1.8436,16,73,22,99
1.8580,16,73,23,98
1.8728,16,73,23,98
1.8850,16,73,23,98
1.9023,16,74,22,98
1.9165,16,74,22,98
1.9342,15,75,23,98
1.9491,15,75,23,98
1.9692,15,75,23,98
1.9842,15,73,22,98
2.0028,15,73,22,98
2.0176,15,73,22,98
2.0349,16,74,20,99
2.0488,16,74,20,99
2.0655,16,74,22,99
2.0817,16,74,22,99
2.1017,16,74,22,99
