t_s,rojo,verde,azul,claro
9.1660,13,63,15,79
9.1814,13,63,15,79
9.1953,13,63,15,79
9.2098,13,63,15,79
9.2252,14,64,17,79
9.2395,14,64,17,79
9.2546,14,64,17,79
9.2696,14,64,15,78
9.2872,14,64,15,78
9.3010,14,64,15,78
9.3148,14,64,17,79
9.3282,14,64,17,79
9.3458,14,64,17,79
9.3595,14,64,15,78
9.3750,14,64,15,78
9.3881,14,64,15,78
9.4067,13,64,17,78
9.4213,13,64,17,78
9.4361,13,64,17,78
9.4517,13,64,15,78
9.4657,13,64,15,78
9.4793,13,64,15,78
9.4948,13,63,15,80
9.5071,13,63,15,80
9.5235,13,63,15,80
9.5367,21,71,45,115
9.5506,21,71,45,115
9.5662,21,71,45,115
9.5815,33,78,88,175
9.5957,33,78,88,175
9.6105,33,78,88,175
9.6256,33,79,87,175
9.6407,33,79,87,175
9.6554,33,79,87,175
9.6692,33,79,87,177
9.6863,33,79,87,177
9.7012,33,79,87,177
9.7166,33,78,86,174
9.7316,33,78,86,174
9.7521,33,78,89,174
9.7677,33,78,89,177
9.7842,33,78,89,177
9.7980,34,79,89,177
9.8143,34,79,89,177
9.8283,34,79,89,177
9.8532,33,78,87,177
9.8730,33,78,87,177
9.8864,33,78,87,177
9.9043,34,79,87,177
9.9191,34,79,87,177
9.9333,33,79,89,177
9.9515,33,79,89,177
9.9665,33,79,89,177
9.9829,34,78,88,175
9.9963,34,78,88,175
10.0123,34,78,88,175
10.0276,34,78,87,177
10.0451,34,78,87,177
10.0587,34,78,87,177
10.0741,33,78,89,175
10.0899,33,78,89,175
10.1052,33,78,89,175
10.1186,33,78,89,174
10.1343,33,78,89,174
10.1504,33,78,89,174
10.1651,33,79,89,175
10.1787,33,79,89,175
10.1940,33,79,89,175
10.2090,34,79,89,177
10.2253,34,79,89,177
10.2406,34,79,87,175
10.2557,34,79,87,175
10.2672,34,79,87,175
10.2847,34,79,87,175
10.2985,34,79,87,175
10.3138,34,79,87,175
10.3276,33,79,87,177
10.3453,33,79,87,177
10.3588,33,79,87,177
10.3746,34,79,87,175
10.3876,34,79,87,175
10.4060,34,79,87,175
10.4203,33,79,89,177
10.4366,33,79,89,177
10.4502,33,79,89,177
10.4650,33,78,89,177
10.4783,33,78,89,177
10.4941,33,78,89,177
10.5063,34,79,87,175
10.5228,34,79,87,175
10.5362,34,79,87,175
10.5526,33,78,87,175
10.5647,33,78,87,175
10.5837,33,78,87,175
10.5971,34,79,87,177
10.6127,34,79,87,177
10.6248,34,79,87,177
10.6428,33,79,86,173
10.6570,33,79,86,173
10.6741,33,79,86,173
10.6887,34,79,89,177
10.7062,34,79,89,177
10.7186,34,79,89,177
10.7369,33,79,89,175
10.7548,33,79,89,175
10.7739,34,79,87,177
10.7863,34,79,87,177
10.8012,34,79,87,177
10.8220,33,78,89,175
10.8403,33,78,89,175
10.8597,34,79,89,175
10.8745,34,79,89,177
10.8931,34,79,89,177
10.9063,34,79,89,177
10.9241,34,79,89,177
10.9398,34,79,89,177
10.9567,34,78,87,177
10.9710,34,78,87,177
10.9854,34,78,87,177
11.0004,33,79,89,175
11.0147,33,79,89,175
11.0283,33,79,89,175
11.0462,34,79,87,177
11.0604,34,79,87,177
11.0756,34,79,87,177
11.0877,34,79,88,175
11.1054,34,79,88,175
11.1203,34,79,88,175
11.1343,33,78,89,177
11.1465,33,78,89,177
11.1652,33,78,89,177
11.1790,34,78,86,177
11.1955,34,78,86,177
11.2090,34,78,86,177
11.2262,33,78,89,177
11.2393,33,78,89,177
11.2540,33,78,89,177
11.2685,34,79,89,177
11.2851,34,79,89,177
11.2988,34,79,89,177
11.3138,34,78,87,177
11.3310,34,78,87,177
11.3455,34,78,87,177
11.3588,33,79,87,177
11.3742,33,79,87,177
11.3902,33,79,87,177
11.4053,34,79,89,177
11.4188,34,79,89,177
11.4357,34,79,89,177
11.4508,33,79,87,177
11.4656,33,79,87,177
11.4785,34,79,87,177
11.4954,34,79,89,175
11.5100,34,79,89,175
11.5275,34,69,78,157
11.5425,34,69,78,157
11.5579,34,69,78,157
11.5827,31,3,0,34
11.5959,31,3,0,34
11.6132,31,3,0,34
11.6276,31,4,1,34
11.6441,31,4,1,34
11.6585,31,4,1,34
11.6745,30,4,0,34
11.6954,30,4,0,34
11.7128,30,4,0,34
11.7274,30,4,0,34
11.7452,30,4,0,34
11.7617,30,4,0,34
11.7756,30,4,0,34
11.7907,30,4,0,34
11.8069,30,3,1,34
11.8222,30,3,1,34
11.8411,31,3,1,34
11.8656,31,3,1,34
11.8817,31,3,1,33
11.8954,31,3,1,33
11.9121,31,3,1,33
11.9359,30,4,1,34
11.9560,30,4,1,34
11.9708,30,3,0,34
11.9855,30,3,0,34
12.0007,30,3,0,34
12.0125,30,4,0,34
12.0283,30,4,0,34
12.0431,30,4,0,34
12.0597,30,4,0,34
12.0721,30,4,0,34
12.0859,30,4,0,34
12.0994,30,4,0,34
12.1163,30,3,1,34
12.1323,30,3,1,34
12.1468,30,3,1,34
12.1598,31,3,1,34
12.1747,31,3,1,34
12.1868,31,3,1,33
12.2053,31,3,1,33
12.2193,31,3,1,33
12.2345,30,4,1,33
12.2511,30,4,1,33
12.2650,30,4,1,33
12.2780,31,4,0,34
12.2948,31,4,0,34
12.3078,31,4,0,34
12.3266,31,3,1,33
12.3405,31,3,1,33
12.3547,31,3,1,33
12.3697,30,4,1,34
12.3850,30,4,1,34
12.3986,30,4,1,34
12.4145,30,4,1,33
12.4317,30,4,1,33
12.4473,30,4,1,33
12.4605,30,3,1,34
12.4746,30,3,1,34
12.4902,30,3,1,34
12.5050,31,3,1,34
12.5190,31,3,1,34
12.5355,31,3,1,34
12.5490,30,3,0,34
12.5651,30,3,0,34
12.5788,30,3,0,34
12.5949,31,3,0,34
12.6070,31,3,0,34
12.6227,31,3,0,34
12.6377,30,3,0,34
12.6529,30,3,0,34
12.6711,30,3,0,34
12.6934,31,4,0,34
12.7065,31,4,0,34
12.7247,31,3,0,34
12.7430,31,3,0,34
12.7582,31,3,0,34
12.7718,31,3,0,34
12.7894,31,3,0,34
12.8028,31,3,0,34
12.8196,31,3,0,34
12.8507,31,3,0,34
12.8684,31,3,0,34
12.8842,31,3,0,34
12.8983,31,3,0,34
12.9155,31,3,0,34
12.9336,31,3,0,34
12.9538,31,3,0,34
12.9725,31,3,0,34
12.9864,31,3,0,34
13.0021,31,3,0,34
13.0164,31,3,0,34
13.0334,31,3,0,34
13.0474,31,3,0,34
13.0650,31,3,0,34
13.0773,31,3,0,34
13.0953,31,3,0,34
13.1075,31,3,0,34
13.1250,31,3,0,34
13.1398,31,3,0,34
13.1538,31,3,0,34
13.1698,31,3,0,34
13.1859,31,3,0,34
13.1990,31,3,0,34
13.2141,31,3,0,34
13.2284,31,3,0,34
13.2459,31,3,0,34
13.2595,30,3,1,34
13.2737,30,3,1,34
13.2932,30,3,1,34
13.3084,31,4,1,34
13.3219,31,4,1,34
13.3380,31,4,1,34
13.3521,31,3,0,34
13.3681,31,3,0,34
13.3827,31,3,0,34
13.3974,31,3,0,34
13.4111,31,3,0,34
13.4257,31,3,0,34
13.4395,31,3,0,34
13.4543,31,3,0,34
13.4684,31,3,0,34
13.4855,31,3,1,33
13.4985,31,3,1,33
13.5151,31,3,1,33
13.5295,31,3,0,34
13.5454,31,3,0,34
13.5605,31,3,0,34
13.5833,4,61,13,65
13.6018,4,61,13,65
13.6155,1,63,15,68
13.6346,1,63,15,68
13.6521,1,63,15,68
13.6671,0,64,15,69
13.6824,0,64,15,69
13.7038,0,64,15,68
13.7236,0,64,15,68
13.7380,0,64,15,68
13.7538,1,63,17,68
13.7693,1,63,17,68
13.7860,1,63,17,68
13.8006,1,63,17,68
13.8157,1,63,17,68
13.8391,1,63,17,68
13.8611,1,63,17,68
13.8758,1,63,17,68
13.8926,1,63,17,68
13.9082,1,63,17,68
13.9241,1,63,17,68
13.9448,1,63,17,68
13.9631,1,63,17,68
13.9763,1,63,15,69
13.9921,1,63,15,69
14.0064,1,63,15,69
14.0219,0,64,15,68
14.0362,0,64,15,68
14.0526,0,64,15,68
14.0662,0,64,15,68
14.0824,0,64,15,68
14.0954,0,64,15,68
14.1147,0,64,17,68
14.1278,0,64,17,68
14.1448,1,63,15,69
14.1600,1,63,15,69
14.1736,1,63,15,69
14.1907,1,63,15,68
14.2041,1,63,15,68
14.2219,1,63,15,68
14.2351,0,64,15,69
14.2516,0,64,15,69
14.2655,0,64,15,69
14.2848,1,63,15,68
14.2986,1,63,15,68
14.3138,1,63,15,68
14.3267,1,63,15,68
14.3456,1,63,15,68
14.3585,1,63,15,68
14.3757,0,64,17,69
14.3923,0,64,17,69
14.4074,0,64,17,69
14.4218,1,64,15,68
14.4426,1,64,15,68
14.4563,1,63,17,68
14.4713,1,63,17,68
14.4852,1,63,17,68
14.5024,0,64,15,69
14.5178,0,64,15,69
14.5355,0,64,15,69
14.5486,0,64,15,69
14.5648,0,64,15,69
14.5787,0,64,15,69
14.5957,0,64,15,69
14.6097,0,64,15,69
14.6248,0,64,15,69
14.6443,0,64,15,69
14.6609,0,64,15,69
14.6753,1,63,17,68
14.6916,1,63,17,68
14.7135,1,63,17,68
14.7272,0,64,15,69
14.7456,0,64,15,69
14.7596,0,64,15,69
14.7753,1,64,15,68
14.7894,1,64,15,68
14.8043,1,63,15,68
14.8212,1,63,17,68
14.8383,1,63,17,68
14.8571,0,64,15,69
14.8782,0,64,15,69
14.8955,0,64,15,69
14.9115,0,64,15,69
14.9285,0,64,15,69
14.9457,1,63,17,68
14.9634,1,63,17,68
14.9771,1,63,17,68
14.9938,0,64,15,69
15.0094,0,64,15,69
15.0250,0,64,15,69
15.0383,1,63,17,68
15.0548,1,63,17,68
15.0693,1,63,17,68
15.0849,0,64,15,69
15.0991,0,64,15,69
15.1142,0,64,15,69
15.1278,0,64,15,69
15.1449,0,64,15,69
15.1579,0,64,15,69
15.1748,0,64,15,69
15.1882,0,64,15,69
15.2066,0,64,15,69
15.2205,0,64,15,69
15.2346,0,64,15,69
15.2502,0,64,15,69
15.2648,0,64,15,69
15.2795,0,64,15,69
15.2948,1,63,15,68
15.3092,1,63,15,68
15.3263,1,63,15,68
15.3401,1,63,15,68
15.3532,1,63,15,68
15.3717,1,63,15,68
15.3878,0,64,15,68
15.4039,0,64,15,68
15.4177,0,64,15,68
15.4376,0,64,17,68
15.4519,0,64,17,68
15.4656,0,64,17,68
15.4789,1,63,15,69
15.4956,1,63,15,69
15.5076,1,63,15,69
15.5253,1,63,15,68
15.5387,1,63,15,68
15.5540,1,63,15,68
15.5690,0,29,57,79
15.5848,0,29,57,79
15.5988,0,29,57,79
15.6138,1,16,76,83
15.6277,1,16,76,83
15.6463,1,16,76,83
15.6609,1,15,75,84
15.6742,1,15,75,84
15.6930,1,15,75,84
15.7062,0,16,76,85
15.7200,0,16,76,85
15.7385,0,16,76,84
15.7545,0,16,76,84
15.7699,0,16,76,84
15.7856,0,16,75,83
15.8038,0,16,75,83
15.8224,0,16,75,83
15.8414,1,16,76,83
15.8659,1,16,76,83
15.8827,0,16,76,83
15.8960,0,16,76,83
15.9159,1,16,76,84
15.9345,1,16,76,84
15.9511,1,16,76,84
15.9673,1,15,75,84
15.9847,1,15,75,84
15.9984,1,15,75,84
16.0163,1,15,75,84
16.0295,1,15,75,84
16.0453,1,15,75,84
16.0598,1,15,75,84
16.0750,1,15,75,84
16.0903,1,15,75,84
16.1063,0,16,76,85
16.1196,0,16,76,85
16.1363,0,16,76,85
16.1496,0,16,76,83
16.1660,0,16,76,83
16.1794,0,16,76,83
16.1955,1,15,75,84
16.2100,1,15,75,84
16.2236,0,16,75,84
16.2406,0,16,75,84
16.2556,0,16,75,84
16.2693,0,16,75,84
16.2852,0,16,75,84
16.2974,0,16,75,84
16.3155,0,16,75,84
16.3292,0,16,75,84
16.3448,0,16,75,84
16.3596,1,15,75,83
16.3754,1,15,75,83
16.3891,1,15,75,83
16.4057,0,16,76,83
16.4196,0,16,76,83
16.4387,0,16,76,83
16.4522,0,16,76,83
16.4656,0,16,76,83
16.4820,0,16,76,83
16.4955,1,15,75,84
16.5113,1,15,75,84
16.5253,1,15,75,84
16.5419,0,16,76,85
16.5573,0,16,76,85
16.5855,1,15,75,86
16.6031,1,15,75,86
16.6202,1,15,75,86
16.6373,0,16,76,84
16.6496,0,16,76,84
16.6656,0,16,76,84
16.6825,0,16,76,84
16.6991,0,16,76,84
16.7145,0,16,75,84
16.7359,0,16,75,84
16.7563,0,16,75,84
16.7726,1,16,76,86
16.7871,1,16,76,86
16.8005,1,16,76,86
16.8164,1,16,76,83
16.8378,1,16,76,83
16.8626,0,16,76,83
16.8791,0,16,76,83
16.9029,1,16,76,84
16.9204,1,16,76,84
16.9360,0,16,76,84
16.9527,0,16,76,84
16.9718,0,16,76,84
16.9861,1,15,75,84
17.0031,1,15,75,84
17.0173,1,15,75,84
17.0330,1,15,76,85
