t_s,rojo,verde,azul,claro
0.0000,30,21,4,53
0.0142,30,21,4,53
0.0261,30,21,4,53
0.0418,30,21,4,53
0.0557,30,21,6,51
0.0727,30,21,6,51
0.0907,31,20,6,51
0.1044,31,20,6,51
0.1205,31,20,6,51
0.1343,30,21,4,53
0.1480,30,21,4,53
0.1627,30,21,4,53
0.1786,31,20,6,51
0.1941,31,20,6,51
0.2082,31,20,6,51
0.2216,30,21,6,54
0.2366,30,21,6,54
0.2508,30,21,6,54
0.2659,30,20,6,50
0.2814,30,20,6,50
0.2956,30,20,6,50
0.3105,31,21,4,50
0.3262,31,21,4,50
0.3394,31,21,4,50
0.3546,31,21,4,53
0.3693,31,21,4,53
0.3870,31,21,4,53
0.4017,30,20,6,54
0.4205,30,20,6,54
0.4353,30,20,6,54
0.4503,31,21,4,50
0.4667,31,21,4,50
0.4836,31,21,4,50
0.5027,30,21,4,50
0.5164,30,21,4,50
0.5376,31,20,6,54
0.5493,31,20,6,54
0.5656,31,20,6,54
0.5815,30,21,6,51
0.5964,30,21,6,51
0.6084,30,21,6,51
0.6258,30,20,6,51
0.6402,30,20,6,51
0.6562,30,20,6,51
0.6714,30,21,4,53
0.6857,30,21,4,53
0.7027,30,21,4,53
0.7176,31,20,6,51
0.7332,31,20,6,51
0.7509,31,20,6,51
0.7676,30,21,4,50
0.7845,30,21,4,50
0.8005,30,21,4,53
0.8186,30,21,4,53
0.8389,30,21,6,51
0.8632,30,21,6,51
0.8784,30,21,6,51
0.8916,30,21,6,54
0.9064,30,21,6,54
0.9258,30,21,6,54
0.9427,30,21,4,50
0.9567,30,21,4,50
0.9738,30,21,4,50
0.9872,31,21,4,50
1.0014,31,21,4,50
1.0146,31,21,4,50
1.0364,30,20,4,53
1.0486,30,20,4,53
1.0654,31,20,6,51
1.0829,31,20,6,51
1.0973,31,20,6,51
1.1097,30,21,4,50
1.1255,30,21,4,50
1.1387,30,21,4,50
1.1549,30,20,6,50
1.1695,30,20,6,50
1.1830,30,20,6,50
1.1983,30,21,4,50
1.2120,30,21,4,50
1.2271,30,21,4,50
1.2394,31,20,6,54
1.2557,31,20,6,54
1.2694,31,20,6,54
1.2855,31,20,6,54
1.2994,31,20,6,50
1.3156,31,20,6,50
1.3281,31,20,6,51
1.3446,31,20,6,51
1.3584,31,20,6,51
1.3755,31,20,6,54
1.3892,31,20,6,54
1.4046,31,20,6,54
1.4217,30,21,4,53
1.4357,30,21,4,53
1.4515,30,21,4,53
1.4663,30,20,6,51
1.4830,30,20,6,51
1.4968,30,20,6,51
1.5106,24,40,34,86
1.5247,24,40,34,86
1.5435,24,40,34,86
1.5569,3,75,91,148
1.5835,3,75,91,148
1.6006,3,79,91,148
1.6154,3,79,91,148
1.6291,3,79,91,148
1.6511,3,75,92,149
1.6654,3,75,92,149
1.6846,4,76,92,149
1.7029,4,76,92,148
1.7178,4,76,92,148
1.7370,3,75,92,149
1.7545,3,75,92,149
1.7704,3,75,92,149
1.7843,3,75,92,148
1.8004,3,75,92,148
1.8146,3,75,92,148
1.8283,4,76,92,148
1.8576,4,76,92,148
1.8737,3,76,92,148
1.8880,3,76,92,148
1.9042,3,78,91,148
1.9203,3,78,91,148
1.9341,3,78,91,148
1.9497,4,75,92,148
1.9649,4,75,92,148
1.9820,4,75,92,148
1.9951,3,76,92,149
2.0118,3,76,92,149
2.0252,3,76,92,149
2.0400,4,76,91,148
2.0560,4,76,91,148
2.0726,4,76,91,148
2.0861,3,75,92,148
2.1011,3,75,92,148
2.1147,3,75,92,148
2.1344,3,79,92,148
2.1464,3,79,92,148
2.1610,3,79,92,148
2.1746,3,76,92,149
2.1926,3,76,92,149
2.2061,3,76,92,149
2.2238,3,76,91,148
2.2374,3,76,91,148
2.2521,3,76,91,148
2.2667,3,75,91,148
2.2846,3,75,91,148
2.2991,3,75,91,148
2.3123,4,76,92,148
2.3273,4,76,92,148
2.3448,4,76,92,148
2.3610,3,79,91,149
2.3746,3,79,91,149
2.3923,4,76,92,148
2.4126,4,76,92,148
2.4262,4,76,92,148
2.4442,3,78,91,148
2.4583,3,78,91,148
2.4719,3,78,91,148
2.4873,4,76,91,148
2.5006,4,76,91,148
2.5161,4,76,91,148
2.5283,3,76,91,148
2.5456,3,76,91,148
2.5595,3,76,91,148
2.5818,3,75,92,148
2.5951,3,75,92,148
2.6098,3,75,92,148
2.6231,4,75,92,149
2.6396,4,75,92,149
2.6570,4,75,92,149
2.6733,3,78,91,148
2.6876,3,78,91,148
2.7031,3,78,91,148
2.7171,3,76,92,148
2.7348,3,76,92,148
2.7509,4,76,91,148
2.7674,4,76,91,148
2.7836,4,76,91,148
2.7995,4,76,92,149
2.8157,4,76,92,149
2.8397,4,75,92,149
2.8611,4,75,92,149
2.8754,4,75,92,149
2.8922,3,75,92,149
2.9137,3,75,92,149
2.9284,3,75,92,149
2.9462,3,75,92,149
2.9643,3,75,92,149
2.9790,4,76,91,148
2.9927,4,76,91,148
3.0067,4,76,91,148
3.0227,3,79,91,149
3.0363,3,79,91,149
3.0493,3,79,91,149
3.0647,4,75,92,148
3.0790,4,75,92,148
3.0976,4,75,92,148
3.1114,3,75,91,148
3.1255,3,75,91,148
3.1420,3,75,91,148
3.1557,3,76,92,149
3.1700,3,76,92,149
3.1853,3,76,92,149
3.1996,3,76,91,148
3.2157,3,76,91,148
3.2287,3,76,91,148
3.2457,4,76,92,148
3.2592,4,76,92,148
3.2724,4,76,92,148
3.2893,3,75,91,148
3.3025,3,75,91,148
3.3196,3,75,91,148
3.3329,3,76,91,148
3.3474,3,76,91,148
3.3615,3,76,91,148
3.3774,3,76,92,149
3.3911,3,76,92,149
3.4055,3,76,92,149
3.4199,4,75,92,148
3.4366,4,75,92,148
3.4502,4,75,92,148
3.4657,3,75,91,148
3.4813,3,75,91,148
3.4956,3,75,91,148
3.5102,6,74,88,145
3.5254,6,74,88,145
3.5387,6,74,88,145
3.5558,34,19,75,114
3.5698,34,19,75,114
3.5854,34,19,75,114
3.5998,33,18,76,113
3.6148,33,18,76,113
3.6336,33,19,75,114
3.6510,33,19,75,114
3.6647,33,19,75,114
3.6846,33,19,75,113
3.7032,33,19,75,113
3.7171,33,19,75,113
3.7395,33,18,75,114
3.7522,33,18,75,114
3.7684,34,19,76,113
3.7850,34,19,76,113
3.8046,34,19,76,113
3.8253,34,19,75,114
3.8576,34,19,76,114
3.8825,34,19,76,114
3.8996,34,19,76,114
3.9134,33,18,75,113
3.9286,33,18,75,113
3.9446,33,18,75,113
3.9597,33,19,75,114
3.9731,33,19,75,114
3.9906,34,19,75,114
4.0043,34,19,75,114
4.0192,34,19,75,114
4.0332,34,19,75,114
4.0474,33,18,75,114
4.0606,33,18,75,114
4.0766,33,18,75,114
4.0905,33,19,75,114
4.1066,33,19,75,114
4.1238,34,19,76,113
4.1375,34,19,76,113
4.1528,34,19,76,113
4.1667,34,19,76,113
4.1863,34,18,76,114
4.2004,34,18,76,114
4.2154,33,19,75,114
4.2305,33,19,75,114
4.2457,33,19,75,114
4.2592,33,19,75,113
4.2754,33,19,75,113
4.2892,33,19,75,113
4.3044,33,19,75,114
4.3191,33,19,75,114
4.3356,33,19,75,114
4.3501,33,19,75,114
4.3645,33,19,75,114
4.3782,33,19,75,114
4.3954,33,18,75,114
4.4116,33,18,75,114
4.4282,33,18,75,114
4.4443,33,19,75,114
4.4588,33,19,75,114
4.4718,33,19,75,114
4.4858,34,19,76,113
4.4992,34,19,76,113
4.5155,34,19,76,113
4.5288,34,18,76,114
4.5442,34,18,76,114
4.5578,34,18,76,114
4.5830,33,18,76,114
4.5962,33,18,76,114
4.6126,33,19,75,113
4.6279,33,19,75,113
4.6463,33,19,75,113
4.6602,33,18,76,113
4.6752,33,18,76,113
4.6953,33,18,76,113
4.7113,34,18,76,114
4.7263,34,18,76,114
4.7442,34,19,76,113
4.7605,34,19,76,113
4.7763,34,19,76,113
4.7887,33,18,75,114
4.8061,33,18,75,114
4.8236,33,19,76,114
4.8468,33,19,76,114
4.8655,33,19,76,114
4.8831,33,19,75,113
4.9004,33,19,75,113
4.9150,33,19,75,113
4.9356,33,18,76,114
4.9544,33,18,76,114
4.9683,33,19,76,114
4.9833,33,19,76,114
5.0003,33,19,76,114
5.0134,33,18,76,114
5.0286,33,18,76,114
5.0435,33,18,76,114
5.0595,33,19,75,114
5.0735,33,19,75,114
5.0869,33,19,75,114
5.0998,33,19,75,114
5.1151,33,19,75,114
5.1288,33,19,75,114
5.1465,33,18,76,114
5.1596,33,18,76,114
5.1757,33,18,76,114
5.1908,34,19,75,117
5.2057,34,19,75,117
5.2194,34,19,75,117
5.2364,34,19,75,113
5.2496,34,19,75,113
5.2666,34,19,75,113
5.2813,34,19,76,113
5.2957,34,19,76,113
5.3113,34,19,76,113
5.3255,34,19,75,114
5.3407,34,19,75,114
5.3543,34,19,75,114
5.3681,34,19,76,114
5.3855,34,19,76,114
5.3985,34,19,76,114
5.4144,33,18,75,113
5.4293,33,18,75,113
5.4455,33,18,75,113
5.4592,33,19,75,114
5.4746,33,19,75,114
5.4884,33,19,75,114
5.5055,33,19,75,114
5.5192,33,19,75,114
5.5347,33,19,75,114
5.5481,18,16,75,102
5.5667,18,16,75,102
5.5827,18,16,75,102
5.6005,18,15,75,98
5.6128,18,15,75,98
5.6286,18,15,75,98
5.6426,19,15,75,99
5.6587,19,15,75,99
5.6740,19,16,76,102
5.6934,19,16,76,102
5.7133,19,16,76,102
5.7271,18,16,76,100
5.7467,18,16,76,100
5.7618,18,16,76,100
5.7759,18,16,75,102
5.7973,18,16,75,102
5.8141,18,16,75,100
5.8317,18,16,75,100
5.8565,19,16,76,99
5.8730,19,16,76,99
5.8890,19,16,76,99
5.9058,19,15,75,99
5.9216,19,15,75,99
5.9378,19,15,75,99
5.9533,19,15,75,99
5.9725,19,15,75,99
5.9862,19,16,76,98
6.0014,19,16,76,98
6.0151,19,16,76,98
6.0350,18,15,75,99
6.0505,18,15,75,99
6.0655,18,15,75,99
6.0785,18,16,76,98
6.0963,18,16,76,98
6.1089,18,16,76,98
6.1274,18,15,75,99
6.1423,18,15,75,99
6.1563,18,15,75,99
6.1698,19,15,75,98
6.1854,19,15,75,98
6.1986,19,15,75,98
6.2152,18,16,75,99
6.2274,18,16,75,99
6.2455,18,16,75,99
6.2586,18,15,75,99
6.2773,18,15,75,99
6.2924,18,15,75,99
6.3066,19,15,75,98
6.3202,19,15,75,98
6.3353,19,15,75,98
6.3488,19,15,75,100
6.3653,19,15,75,100
6.3787,19,15,75,100
6.3948,18,16,75,102
6.4097,18,16,75,102
6.4256,18,16,75,102
6.4413,19,15,75,102
6.4558,19,15,75,102
6.4688,19,15,75,102
6.4855,18,15,75,99
6.4984,18,15,75,99
6.5167,18,15,75,99
6.5315,18,16,76,98
6.5452,18,16,76,98
6.5596,18,15,75,99
6.5838,18,15,75,99
6.5970,18,15,75,99
6.6119,19,15,75,98
6.6262,19,15,75,98
6.6487,19,15,75,98
6.6623,18,16,75,99
6.6762,18,16,75,99
6.6948,19,15,75,99
6.7146,19,15,75,99
6.7283,19,15,75,99
6.7469,19,16,76,102
6.7619,19,16,76,102
6.7824,18,16,76,102
6.8035,18,16,76,102
6.8169,18,16,76,102
6.8446,18,15,76,99
6.8673,18,15,76,99
6.8816,19,16,76,100
6.8983,19,16,76,100
6.9157,19,15,75,99
6.9338,19,15,75,99
6.9525,19,15,75,99
6.9668,19,16,75,98
6.9852,19,16,75,98
6.9989,19,16,75,98
7.0146,19,15,75,98
7.0291,19,15,75,98
7.0451,19,15,75,98
7.0596,19,16,76,100
7.0742,19,16,76,100
7.0892,19,16,76,100
7.1054,19,16,76,99
7.1189,19,16,76,99
7.1345,19,16,76,99
7.1476,18,16,75,99
7.1653,18,16,75,99
7.1789,18,16,75,99
7.1957,19,16,76,102
7.2092,19,16,76,102
7.2253,18,16,76,99
7.2427,18,16,76,99
7.2589,18,16,76,99
7.2724,19,15,75,100
7.2863,19,15,75,100
7.2987,19,15,75,100
7.3156,19,15,75,100
7.3279,18,15,75,99
7.3454,18,15,75,99
7.3601,18,15,75,99
7.3756,18,16,76,99
7.3900,18,16,76,99
7.4052,19,16,76,99
7.4195,19,16,76,98
7.4375,19,16,76,98
7.4512,19,16,76,99
7.4647,19,16,76,99
7.4817,19,16,76,99
7.4951,18,15,75,99
7.5115,18,15,75,99
7.5251,18,15,75,99
7.5407,15,48,34,85
7.5539,15,48,34,85
7.5705,15,48,34,85
7.5846,13,63,17,78
7.5977,13,63,17,78
7.6292,14,64,17,78
7.6487,14,64,17,78
7.7018,13,63,17,80
7.7317,14,64,15,79
7.7668,14,63,17,80
7.7941,14,63,17,80
7.8128,13,63,17,78
7.8437,13,63,17,80
7.8654,13,63,17,80
7.8876,13,63,17,80
7.9034,13,64,15,78
7.9176,13,64,15,78
7.9385,13,63,15,78
7.9510,13,63,15,78
7.9657,13,63,15,78
7.9799,13,63,15,78
8.0000,13,63,15,78
8.0163,13,63,15,78
8.0361,14,64,15,78
8.0553,14,64,15,78
8.0693,13,63,17,78
8.0843,13,63,17,78
8.0983,13,63,17,78
8.1125,13,63,17,78
8.1263,13,64,15,78
8.1405,13,64,15,78
8.1568,13,64,15,78
8.1708,13,63,15,80
8.1868,13,63,15,80
8.2024,14,63,15,80
8.2161,14,64,15,79
8.2323,14,64,15,79
8.2508,13,63,15,78
8.2646,13,63,15,78
8.2806,13,63,15,78
8.2941,14,64,15,78
8.3124,14,64,15,78
8.3266,14,64,15,78
8.3422,14,63,17,78
8.3565,14,63,17,78
8.3721,14,63,17,78
8.3847,14,64,15,79
8.4022,14,64,15,79
8.4154,14,64,15,79
8.4352,13,63,15,78
8.4527,13,63,15,78
8.4666,13,63,15,78
8.4828,13,63,15,79
8.4970,13,63,15,79
8.5115,13,63,15,79
8.5252,13,63,15,79
8.5378,13,63,15,79
8.5552,13,63,15,79
8.5714,13,63,15,80
8.5857,13,63,15,80
8.5987,13,63,15,79
8.6154,13,63,15,79
8.6321,13,63,15,79
8.6491,14,63,15,79
8.6654,14,63,15,79
8.6837,14,63,15,79
8.7031,14,64,15,79
8.7165,14,64,15,79
8.7368,13,63,17,78
8.7518,13,63,17,78
8.7662,13,63,17,78
8.7837,14,64,17,78
8.7969,14,64,17,78
8.8187,14,64,17,78
8.8388,14,64,15,78
8.8613,14,64,15,78
8.8768,14,63,17,78
8.8923,14,63,17,78
8.9088,14,63,17,78
8.9237,13,63,15,78
8.9394,13,63,15,78
8.9561,13,63,17,78
8.9711,13,63,17,78
8.9846,13,63,17,78
9.0027,14,64,17,78
9.0162,14,64,17,78
9.0355,14,64,17,78
9.0486,14,64,15,78
9.0656,14,64,15,78
9.0813,14,64,15,78
9.0948,13,63,15,79
9.1098,13,63,15,79
9.1232,13,63,15,79
9.1375,13,63,15,79
9.1522,13,63,15,79
