t_s,rojo,verde,azul,claro
3.8146,31,39,36,95
3.8305,30,39,36,95
3.8444,30,39,36,95
3.8594,30,39,36,95
3.8743,30,39,36,95
3.8872,30,39,36,95
3.9045,30,39,36,95
3.9195,30,39,35,95
3.9346,30,39,35,95
3.9482,30,39,35,95
3.9645,30,39,35,95
3.9793,30,39,35,95
3.9936,30,39,35,95
4.0101,31,39,36,95
4.0243,31,39,36,95
4.0380,31,39,36,95
4.0544,31,39,35,95
4.0693,31,39,35,95
4.0828,31,39,35,95
4.0978,31,39,36,95
4.1109,31,39,36,95
4.1243,31,39,36,95
4.1412,30,39,36,97
4.1555,30,39,36,97
4.1695,30,39,36,97
4.1832,30,39,36,97
4.2027,30,39,36,97
4.2181,30,39,36,97
4.2341,31,38,36,97
4.2477,31,38,36,97
4.2636,31,38,36,97
4.2778,24,41,42,99
4.2942,24,41,42,99
4.3092,24,41,42,99
4.3243,24,41,44,99
4.3378,24,41,44,99
4.3562,24,41,44,99
4.3741,24,40,44,99
4.3921,24,40,44,99
4.4135,23,41,43,98
4.4309,23,41,43,98
4.4475,23,41,43,98
4.4625,24,40,45,98
4.4815,24,40,45,98
4.4966,23,41,42,99
4.5158,23,41,42,99
4.5316,23,41,42,99
4.5465,24,41,44,102
4.5745,24,41,44,102
4.5943,24,40,42,99
4.6112,24,40,42,99
4.6324,23,40,43,98
4.6465,23,40,43,98
4.6666,23,40,43,98
4.6813,23,41,42,98
4.6971,23,41,42,98
4.7114,23,41,42,98
4.7249,23,40,45,98
4.7390,23,40,45,98
4.7532,23,40,45,98
4.7653,24,41,43,99
4.7845,24,41,43,99
4.7974,24,41,43,99
4.8137,24,41,43,98
4.8284,24,41,43,98
4.8461,24,41,43,98
4.8607,23,41,42,98
4.8748,23,41,42,98
4.8902,23,41,42,98
4.9041,23,40,44,99
4.9173,23,40,44,99
4.9337,23,40,44,99
4.9490,24,40,45,98
4.9645,24,40,45,98
4.9775,24,40,45,98
4.9929,23,40,44,99
5.0095,23,40,44,99
5.0240,23,40,44,99
5.0377,24,41,44,100
5.0538,24,41,44,100
5.0684,24,41,44,100
5.0842,23,41,43,98
5.0971,23,41,43,98
5.1136,23,41,43,98
5.1283,23,41,42,98
5.1458,23,41,42,98
5.1608,23,41,43,98
5.1763,23,41,43,98
5.1898,23,41,43,98
5.2040,23,41,43,98
5.2172,23,40,43,98
5.2335,23,40,43,98
5.2481,24,41,45,99
5.2657,24,41,45,99
5.2792,24,41,45,99
5.2936,23,41,45,102
5.3108,23,41,45,102
5.3246,23,41,45,102
5.3384,24,41,42,98
5.3533,24,41,42,98
5.3678,24,41,42,98
5.3845,24,40,45,99
5.3982,24,40,45,99
5.4166,24,40,45,99
5.4307,24,41,45,99
5.4460,24,41,45,99
5.4610,24,41,45,99
5.4798,23,41,45,99
5.5026,23,41,45,99
5.5164,24,41,42,99
5.5348,24,41,42,99
5.5516,24,41,42,99
5.5738,24,41,45,99
5.5947,24,41,45,99
5.6119,23,41,45,99
5.6273,23,41,45,99
5.6447,23,41,45,99
5.6595,24,41,42,99
5.6758,24,41,42,99
5.6902,24,41,42,99
5.7038,24,41,44,99
5.7185,24,41,44,99
5.7336,24,41,44,99
5.7455,24,41,44,99
5.7641,24,41,44,99
5.7777,24,41,44,99
5.7927,23,41,44,98
5.8067,23,41,44,98
5.8240,23,41,44,98
5.8378,24,40,44,99
5.8552,24,40,44,99
5.8712,23,41,44,98
5.8850,23,41,44,98
5.8987,23,41,44,98
5.9131,23,41,44,98
5.9275,23,40,43,98
5.9447,23,40,43,98
5.9594,23,41,42,99
5.9753,23,41,42,99
5.9903,23,41,42,99
6.0041,23,40,43,98
6.0228,23,40,43,98
6.0393,23,40,43,98
6.0535,24,40,42,99
6.0724,24,40,42,99
6.0913,24,41,42,99
6.1049,24,41,43,98
6.1238,24,41,43,98
6.1386,23,40,45,99
6.1543,23,40,45,99
6.1713,23,40,45,99
6.1853,23,41,42,98
6.1988,23,41,42,98
6.2147,23,41,42,98
6.2284,23,40,43,98
6.2451,23,40,43,98
6.2609,23,40,43,98
6.2775,23,66,22,102
6.2908,23,66,22,102
6.3046,23,66,22,102
6.3172,24,70,21,102
6.3328,24,70,21,102
6.3472,24,70,21,102
6.3650,23,70,21,102
6.3790,23,70,21,102
6.3948,23,70,21,102
6.4103,24,71,21,100
6.4256,24,71,21,100
6.4410,24,71,21,100
6.4564,24,70,20,102
6.4730,24,70,20,102
6.4898,24,70,20,102
6.5038,23,71,20,102
6.5266,23,71,20,102
6.5445,23,70,20,100
6.5648,23,70,20,100
6.5890,24,70,21,102
6.6053,24,70,21,102
6.6181,24,70,21,102
6.6381,23,71,21,102
6.6536,23,71,21,102
6.6695,24,71,21,100
6.6834,24,71,21,100
6.7007,24,71,21,100
6.7168,23,71,21,102
6.7342,23,71,21,102
6.7478,23,71,21,102
6.7642,23,71,20,100
6.7780,23,71,20,100
6.7941,23,71,20,100
6.8095,23,71,20,102
6.8234,23,71,20,102
6.8375,23,71,20,102
6.8548,23,71,21,102
6.8706,23,71,21,102
6.8847,23,71,21,102
6.8993,24,70,21,100
6.9141,24,70,21,100
6.9291,24,70,21,100
6.9425,24,70,21,102
6.9609,24,70,21,102
6.9752,24,70,21,102
6.9882,23,70,20,100
7.0042,23,70,20,100
7.0181,23,70,20,100
7.0315,24,71,21,100
7.0477,24,71,21,100
7.0646,23,70,21,100
7.0805,23,70,21,100
7.0953,23,70,21,100
7.1107,23,70,21,100
7.1238,23,70,21,102
7.1404,23,70,21,102
7.1551,24,70,20,100
7.1716,24,70,20,100
7.1851,24,70,20,100
7.2016,23,70,20,102
7.2156,23,70,20,102
7.2339,23,70,20,102
7.2474,23,70,20,100
7.2647,23,70,20,100
7.2787,23,70,20,100
7.2938,23,70,20,100
7.3110,23,70,20,100
7.3244,23,70,20,100
7.3365,23,70,21,102
7.3545,23,70,21,102
7.3703,23,70,21,102
7.3856,24,70,21,102
7.4133,24,70,21,102
7.4290,23,71,21,102
7.4433,23,71,21,102
7.4612,24,71,21,100
7.4815,24,71,21,100
7.4960,24,71,21,100
7.5130,24,71,21,100
7.5282,24,71,21,100
7.5445,24,71,21,100
7.5596,24,71,21,100
7.5899,24,71,21,100
7.6062,23,70,20,100
7.6222,23,70,20,100
7.6421,23,71,21,102
7.6627,23,71,21,102
7.6765,23,71,21,102
7.6936,24,71,21,100
7.7087,24,71,21,100
7.7258,24,71,21,100
7.7401,23,71,21,102
7.7538,23,71,21,102
7.7709,23,71,21,102
7.7849,24,71,20,100
7.7988,24,71,20,100
7.8132,24,71,20,100
7.8259,24,70,20,102
7.8439,24,70,20,102
7.8586,24,70,20,102
7.8735,23,70,20,100
7.8873,23,70,20,100
7.9042,23,70,20,100
7.9181,24,71,21,100
7.9327,24,71,21,100
7.9507,24,71,21,100
7.9641,23,71,21,102
7.9773,23,71,21,102
7.9934,23,71,21,102
8.0070,24,70,20,102
8.0238,24,70,20,102
8.0375,24,70,20,102
8.0547,24,70,21,100
8.0705,24,70,21,100
8.0846,24,70,21,100
8.0994,24,70,21,102
8.1134,24,70,21,102
8.1309,23,70,21,102
8.1445,23,70,21,102
8.1595,23,70,21,102
8.1739,24,70,20,102
8.1881,24,70,20,100
8.2036,24,70,20,100
8.2193,23,70,21,100
8.2334,23,70,21,100
8.2477,23,70,21,100
8.2639,26,64,24,103
8.2769,26,64,24,103
8.2931,26,64,24,103
8.3069,26,58,30,104
8.3240,26,58,30,104
8.3371,26,58,30,104
8.3556,25,58,29,103
8.3808,25,58,29,103
8.3943,25,58,29,103
8.4147,25,58,30,104
8.4338,25,58,30,104
8.4516,25,58,30,103
8.4669,25,58,30,103
8.4860,25,58,30,104
8.5003,25,58,30,104
8.5159,25,58,30,104
8.5300,26,59,29,103
8.5467,26,59,29,103
8.5726,25,58,30,104
8.5926,25,58,30,104
8.6103,25,58,30,104
8.6251,25,58,30,103
8.6416,25,58,30,103
8.6655,26,59,29,103
8.6789,26,59,29,103
8.6941,26,59,29,103
8.7107,26,59,29,103
8.7269,26,59,29,103
8.7411,26,59,29,103
8.7554,25,58,30,103
8.7706,25,58,30,103
8.7862,25,58,30,103
8.8001,25,58,29,103
8.8173,25,58,29,103
8.8308,25,58,29,103
8.8475,26,59,30,104
8.8612,26,59,30,104
8.8752,26,59,30,104
8.8884,26,58,30,104
8.9037,26,58,30,104
8.9189,26,58,30,104
8.9336,25,58,30,103
8.9491,25,58,30,103
8.9647,25,58,30,103
8.9792,25,58,30,104
8.9936,25,58,30,104
9.0101,25,58,30,104
9.0247,26,59,30,104
9.0396,26,59,30,104
9.0555,26,59,30,104
9.0700,26,59,30,103
9.0833,26,59,30,103
9.0997,26,59,30,103
9.1151,26,59,30,103
9.1298,26,59,30,103
9.1431,26,59,30,103
9.1616,25,58,30,104
9.1786,25,58,30,104
9.1944,25,58,30,104
9.2096,25,58,30,104
9.2243,25,58,30,104
9.2383,26,59,30,103
9.2535,26,59,30,103
9.2669,26,59,30,103
9.2836,26,59,29,103
9.2972,26,59,29,103
9.3152,26,59,29,103
9.3282,25,58,29,103
9.3427,25,58,29,103
9.3600,25,58,29,103
9.3750,25,58,29,103
9.3898,25,58,29,103
9.4125,25,58,29,103
9.4320,26,59,30,104
9.4485,26,59,30,104
9.4667,25,58,30,104
9.4854,25,58,30,104
9.5048,25,58,30,104
9.5210,25,58,30,104
9.5390,25,58,30,104
9.5543,25,58,30,104
9.5820,25,58,30,104
9.6064,25,58,29,103
9.6267,25,58,29,103
9.6421,26,59,30,104
9.6676,26,59,30,104
9.6818,25,58,30,104
