t_s,rojo,verde,azul,claro
0.0000,23,4,0,24
0.0134,23,4,0,24
0.0312,23,4,0,24
0.0467,23,4,0,24
0.0613,23,4,0,24
0.0746,23,4,0,24
0.0911,23,4,0,24
0.1059,23,4,0,24
0.1208,23,4,0,24
0.1350,24,4,1,23
0.1529,24,4,1,23
0.1733,23,3,0,24
0.1870,23,3,0,24
0.2029,23,3,0,24
0.2171,23,4,1,23
0.2338,23,4,1,23
0.2469,23,4,1,23
0.2635,23,3,0,24
0.2771,23,3,0,24
0.2947,23,3,0,24
0.3098,23,3,0,24
0.3250,23,3,0,24
0.3398,23,3,0,24
0.3560,24,3,0,24
0.3695,24,3,0,24
0.3857,24,3,0,24
0.4018,23,4,0,24
0.4160,23,4,0,24
0.4305,23,4,0,24
0.4473,23,3,0,24
0.4611,23,3,0,24
0.4767,23,3,0,24
0.4904,23,4,1,23
0.5058,23,4,1,23
0.5194,23,4,1,23
0.5369,23,3,0,24
0.5505,23,3,0,24
0.5650,23,3,0,24
0.5793,23,3,0,24
0.5966,23,3,0,24
0.6102,23,3,0,24
0.6250,23,4,0,24
0.6412,23,4,0,24
0.6570,23,4,0,24
0.6702,23,3,0,24
0.6857,23,3,0,24
0.7020,24,4,0,24
0.7196,24,4,0,24
0.7328,24,4,0,24
0.7492,23,4,1,23
0.7632,23,4,1,23
0.7778,23,4,1,23
0.7941,23,3,0,24
0.8115,23,3,0,24
0.8278,23,3,0,24
0.8472,24,4,0,24
0.8620,24,4,0,24
0.8793,24,3,1,23
0.9046,24,3,1,23
0.9227,23,3,0,23
0.9381,23,3,0,24
0.9545,23,3,0,24
0.9693,23,4,1,23
0.9839,23,4,1,23
1.0015,23,4,1,23
1.0151,24,4,1,24
1.0311,24,4,1,24
1.0452,24,4,1,24
1.0615,23,4,1,23
1.0750,23,4,1,23
1.0887,23,4,1,23
1.1024,24,4,1,23
1.1165,24,4,1,23
1.1326,24,4,1,23
1.1461,23,3,0,24
1.1607,23,3,0,24
1.1763,23,3,0,24
1.1902,23,4,0,24
1.2075,23,4,0,24
1.2210,23,4,0,24
1.2341,23,4,0,24
1.2500,23,4,0,24
1.2635,23,4,0,24
1.2831,24,4,1,23
1.2962,24,4,1,23
1.3129,24,4,1,23
1.3265,24,3,1,24
1.3455,24,3,1,24
1.3597,24,3,1,24
1.3749,24,3,1,24
1.3876,24,3,1,24
1.4040,24,3,1,24
1.4173,24,3,1,24
1.4343,24,3,1,24
1.4484,24,3,1,24
1.4632,24,3,1,23
1.4766,24,3,1,23
1.4897,24,3,1,23
1.5070,24,4,1,23
1.5209,24,4,1,23
1.5366,24,4,1,23
1.5531,23,4,1,23
1.5671,23,4,1,23
1.5822,23,4,1,23
1.5967,24,4,1,23
1.6097,24,4,1,23
1.6260,24,4,1,23
1.6398,23,3,0,24
1.6608,23,3,0,24
1.6744,23,3,0,24
1.6958,23,4,1,25
1.7139,23,4,1,25
1.7284,0,41,8,44
1.7459,0,41,8,44
1.7618,0,41,8,44
1.7851,1,41,8,45
1.7971,1,41,8,45
1.8152,1,41,7,46
1.8314,1,41,7,46
1.8481,1,41,7,46
1.8647,0,41,7,46
1.8833,0,41,7,46
1.9009,1,40,7,45
1.9233,1,40,7,45
1.9411,1,40,7,45
